Step	p1	Drot	lk21	CSAfactor	f
{count}	0.9443871242580855	47281031567.206276	8.614087415463604	0.9139874967576462	-0.5924361711448336
{count}	0.9443871242580855	47281031567.206276	8.614087415463604	0.9139874967576462	-0.5924361711448336
{count}	0.9443871242580855	47281031567.206276	8.614087415463604	0.9139874967576462	-0.5924361711448336
{count}	0.9443871242580855	47281031567.206276	8.614087415463604	0.9139874967576462	-0.5924361711448336
{count}	0.9443871242580855	47281031567.206276	8.614087415463604	0.9139874967576462	-0.5924361711448336
{count}	0.9461411557856855	45978689322.73685	8.579142247783269	0.8528356252961794	-0.8089818988912509
{count}	0.9386423071546872	45902106239.44577	8.623167407696204	0.8518263553452862	-0.9248660572859508
{count}	0.9144402302697463	51339659310.68246	8.585234950634867	0.6172214864660013	-1.1672756839986889
{count}	0.9132363364680623	52051168818.15174	8.685671087814598	0.7238837904307664	-1.9229976882730753
{count}	0.9069940175641479	54363112238.23848	8.661629416587637	0.7199596076703262	-2.050115199423744
{count}	0.9069940175641479	54363112238.23848	8.661629416587637	0.7199596076703262	-2.050115199423744
{count}	0.9069940175641479	54363112238.23848	8.661629416587637	0.7199596076703262	-2.050115199423744
{count}	0.9069940175641479	54363112238.23848	8.661629416587637	0.7199596076703262	-2.050115199423744
{count}	0.9069940175641479	54363112238.23848	8.661629416587637	0.7199596076703262	-2.050115199423744
{count}	0.9069940175641479	54363112238.23848	8.661629416587637	0.7199596076703262	-2.050115199423744
{count}	0.8931962359612566	51521392737.267845	8.76469324483402	0.7068577823789384	-2.5305251575628196
{count}	0.8931962359612566	51521392737.267845	8.76469324483402	0.7068577823789384	-2.5305251575628196
{count}	0.8931962359612566	51521392737.267845	8.76469324483402	0.7068577823789384	-2.5305251575628196
{count}	0.8931147792095085	52648375098.784706	8.663599991838163	0.7015022784762635	-2.850918984508719
{count}	0.8931147792095085	52648375098.784706	8.663599991838163	0.7015022784762635	-2.850918984508719
{count}	0.8931147792095085	52648375098.784706	8.663599991838163	0.7015022784762635	-2.850918984508719
{count}	0.8906958826888381	53101165843.19857	8.656674183558891	0.7450329451285892	-2.843649223404085
{count}	0.8906958826888381	53101165843.19857	8.656674183558891	0.7450329451285892	-2.843649223404085
{count}	0.9013064015874795	51428118270.40455	8.652048491331033	0.7207632915581866	-2.818829537603755
{count}	0.9013064015874795	51428118270.40455	8.652048491331033	0.7207632915581866	-2.818829537603755
{count}	0.9013064015874795	51428118270.40455	8.652048491331033	0.7207632915581866	-2.818829537603755
{count}	0.9009435441173042	51555394726.858444	8.660659964429094	0.727241354146223	-2.8268344276678063
{count}	0.9009435441173042	51555394726.858444	8.660659964429094	0.727241354146223	-2.8268344276678063
{count}	0.9009435441173042	51555394726.858444	8.660659964429094	0.727241354146223	-2.8268344276678063
{count}	0.9009435441173042	51555394726.858444	8.660659964429094	0.727241354146223	-2.8268344276678063
{count}	0.9009435441173042	51555394726.858444	8.660659964429094	0.727241354146223	-2.8268344276678063
{count}	0.8962207376348131	53973454902.16954	8.634958584674962	0.7687613490669449	-2.8345903712881295
{count}	0.8962207376348131	53973454902.16954	8.634958584674962	0.7687613490669449	-2.8345903712881295
{count}	0.8962207376348131	53973454902.16954	8.634958584674962	0.7687613490669449	-2.8345903712881295
{count}	0.8937093177549558	55259292976.94168	8.621291508479148	0.7908402000726035	-2.838714705212745
{count}	0.8927044042847803	56112037249.04449	8.63659924754221	0.7998302122641296	-2.874316370382532
{count}	0.8927044042847803	56112037249.04449	8.63659924754221	0.7998302122641296	-2.874316370382532
{count}	0.8927044042847803	56112037249.04449	8.63659924754221	0.7998302122641296	-2.874316370382532
{count}	0.8927044042847803	56112037249.04449	8.63659924754221	0.7998302122641296	-2.874316370382532
{count}	0.8927044042847803	56112037249.04449	8.63659924754221	0.7998302122641296	-2.874316370382532
{count}	0.8927044042847803	56112037249.04449	8.63659924754221	0.7998302122641296	-2.874316370382532
{count}	0.8899293044254792	59818031733.992546	8.67427714724517	0.8290412061876729	-2.9767709691523185
{count}	0.8899293044254792	59818031733.992546	8.67427714724517	0.8290412061876729	-2.9767709691523185
{count}	0.8955454156611564	63109925749.930435	8.641832401619741	0.8364623022749946	-2.9778965999007396
{count}	0.8955454156611564	63109925749.930435	8.641832401619741	0.8364623022749946	-2.9778965999007396
{count}	0.8955454156611564	63109925749.930435	8.641832401619741	0.8364623022749946	-2.9778965999007396
{count}	0.8952901342849867	63631935837.06078	8.62880003726496	0.8329471351435976	-2.969295064561458
{count}	0.8953655647639935	62284766930.9266	8.645833855123364	0.8366920907563323	-3.0044816606221514
{count}	0.8968437972642666	61509085990.94767	8.716414103660728	0.8542196484759053	-3.0930968602443234
{count}	0.8968437972642666	61509085990.94767	8.716414103660728	0.8542196484759053	-3.0930968602443234
{count}	0.8968437972642666	61509085990.94767	8.716414103660728	0.8542196484759053	-3.0930968602443234
{count}	0.8968837276012521	59866194915.26572	8.819855421057962	0.8794310576914562	-3.169671032345296
{count}	0.8964677509769238	60474873270.2858	8.800581315619748	0.8738616765561158	-3.1691656264392245
{count}	0.8954987345368701	61892787879.48198	8.755682338262273	0.860887818013503	-3.167988284725194
{count}	0.8954987345368701	61892787879.48198	8.755682338262273	0.860887818013503	-3.167988284725194
{count}	0.8957694845302113	63212260777.989235	8.729631281694445	0.8620013960230302	-3.1555369612029094
{count}	0.8957694845302113	63212260777.989235	8.729631281694445	0.8620013960230302	-3.1555369612029094
{count}	0.8957694845302113	63212260777.989235	8.729631281694445	0.8620013960230302	-3.1555369612029094
{count}	0.8969760752771997	65535824989.49274	8.751077935968894	0.8481693926131357	-3.247033081355385
{count}	0.8969760752771997	65535824989.49274	8.751077935968894	0.8481693926131357	-3.247033081355385
{count}	0.9009757901115666	63704223544.81423	8.78307988881605	0.8557954138474468	-3.2640470462887743
{count}	0.9009757901115666	63704223544.81423	8.78307988881605	0.8557954138474468	-3.2640470462887743
{count}	0.9028338711751057	62905720318.0722	8.775400997565058	0.8482338914204036	-3.2664927496539393
{count}	0.9057325184280418	58972670503.332405	8.918763137393048	0.8695909668092849	-3.32566964913815
{count}	0.9077877485207406	57649138984.54001	8.96014149910334	0.8738582870881125	-3.3708813779217857
