61	0.21325	1	350	25.0602660497	73.6192018508	44.6517061885	66.6899363794	10	1300	800	150	800	10	460	280
400	0.21326	200	350	0	1	0	1	60	2020	180	1620	380	1260	620	940	60	1260
5005	0.21625	1	350	25.1235	71.6879	45.7349	66.6793	10	1300	800	150	800	10	460	280
133	0.28775	230	350	23.820083014	57.6857279693	35.308908046	112.6385696041	10	1000	600	110	600	10	340	220
1500400	0.30025	1	350	24.0576416539	83.5335987749	44.5561102603	96.6250535988	10	900	530	90	530	10	310	190
500400	0.31025	1	350	24.0102712816	85.4477081384	44.6595884004	98.2414405987	10	900	530	90	530	10	310	190
1000400	0.32025	1	350	24.0646248086	87.055467075	44.7282082695	100.8407350689	10	900	530	90	530	10	310	190
161	0.33565	1	350	23.599393746	91.2398851308	45.511582642	116.0510529675	10	750	410	90	410	10	250	160
77	0.34225	150	350	24.1914840326	67.2434564809	36.0277082029	117.3141828428	10	750	400	80	400	10	250	150
127	0.35025	120	350	24.1199297349	68.8026189716	35.3033854998	128.0035451932	10	750	370	80	370	10	220	140
157	0.36925	1	350	24.1612257661	96.6194183865	45.623014384	124.1196372733	10	700	350	80	350	10	200	130
156	0.38125	1	350	24.1411672419	98.9095387512	45.6695324757	123.9343897082	10	680	340	80	340	10	200	130
60	0.39325	20	200	24.2691825869	76.064265581	36.28991544	131.3751957407	10	600	300	50	300	10	200	100
107	0.42025	102	350	24.2215266688	80.5607793037	35.7795592462	148.5235707442	10	450	230	50	230	10	150	100
9698	0.43275	1	350	24.6270612689	107.7003662279	45.1916163516	131.4657725428	10	430	220	50	220	10	150	100
140	0.44525	1	350	24.0746324679	105.0655927432	45.9948701908	140.1214263372	10	750	370	80	370	10	220	140
2224	0.445251	1	350	24.8079326079	103.2999473499	45.0451210951	132.3992277992	10	370	80	370	10	220	140
7282	0.45725	1	350	24.8800530973	111.4599115044	45.2777935103	137.3558525074	10	400	180	40	180	10	120	80
180	0.46625	1	350	23.6623125	115.488375	45.12078125	141.52646875	10	330	150	30	150	10	100	50
174	0.48025	1	350	23.6015629984	113.9851355662	45.6942264753	144.0522169059	10	330	150	30	150	10	100	50
250052	0.49509	1	350	24.0986976744	120.715751938	30.1332868217	117.5732403101	20	320	160	40	160	20	100	60
101115	0.51425	1	350	24.5242845235	120.5975131981	44.8941372604	152.6636287858	10	330	150	30	150	10	100	50
